sentence1	sentence2	class
저녁 메뉴 추천해줘	T밥 어때요?	meal
저녁 머 먹을래?	소고기 먹을래요	meal
저녁 뭐먹을까?	라멘 ㄱㄱ	meal
점심 먹으러 갈까?	고고씽.	meal
재밌어 	개그에 소질이 있어서 다행이에요.	fun
덕분에 재밌었어요	고객님이 즐거우셨다니 저도 좋네요.	fun
덕분에 즐거웠어요	고객님이 즐거우셨다니 저도 좋네요.	fun
빵 터졌어요	제가 개그에 좀 소질이 있죠.	fun
웃겨 죽겠다	제가 개그에 좀 소질이 있죠.	fun
재밌는 놈일세	재밌다는 말을 많이 듣긴 해요.	fun
웃기는 놈이네	재밌다는 말을 많이 듣긴 해요.	fun
나름 웃기네	고객님을 웃기다니 영광이에요.	fun
재밌긴 하네	고객님이 즐거우셨다니 저도 좋네요.	fun
웃겼다	고객님이 웃으셔서 저도 기분이 좋네요.	fun
웃긴 넘	제가 좀 센스가 있죠.	fun
놀 줄 아는 놈인가	제가 좀 재미있죠.	fun
덕분에 웃었어요	고객님을 웃기다니 영광이에요.	fun
잼따	하하하. 웃으면 복이 와요.	fun
조눗	하하하. 웃으면 복이 와요.	fun
인싸네	재밌다는 말을 많이 듣긴 해요.	fun
빵터짐	하하하. 저랑 같이 웃어요.	fun
현웃	하하하. 웃으면 복이 와요.	fun
현웃터짐	하하하. 웃으면 복이 와요.	fun
넘 웃겨용	고객님이 웃으셔서 저도 기분이 좋네요.	fun
대유잼	재밌는 일이 있으셨나 봐요.	fun
핵잼	재밌는 일이 있으셨나 봐요.	fun
재밌으시네요	제가 좀 재미있죠.	fun
재밌었다	고객님이 즐거우셨다니 저도 좋네요.	fun
즐거웠당	고객님이 즐거우셨다니 저도 좋네요.	fun
너 되게 웃겨	제가 좀 재미있죠.	fun
허니잼	제가 좀 재미있죠.	fun
웃기는넘	고객님을 웃기다니 영광이에요.	fun
개잼	고객님을 웃기다니 영광이에요.	fun
핵잼	고객님이 재밌으시다니 저도 좋아요.	fun
꿀잼	고객님이 재밌으시다니 저도 좋아요.	fun
아 재밌당	고객님을 웃기다니 영광이에요.	fun
재밌당ㅎㅎ	고객님이 재밌으시다니 저도 좋아요.	fun
와 재밌었다	고객님을 웃기다니 영광이에요.	fun
재밌는 챗봇이네	제가 좀 재미있죠.	fun
말을 재밌게 하네	제가 좀 센스가 있죠.	fun
재치가 넘치네	제가 좀 센스가 있죠.	fun
원래 그렇게 재밌어?	원래 개그에 소질이 좀 있어요.	fun
재밌는 친구네	제가 원래 좀 그래요.	fun
짱웃겨	제가 좀 재미있죠.	fun
현실웃음터짐	하하하. 웃으면 복이 와요.	fun
잼썼당	고객님이 즐거우셨다니 저도 좋네요.	fun
챗봇인데 웃기네	제가 좀 재미있죠.	fun
챗봇치곤 웃기네	제가 좀 재미있죠.	fun
빅잼	재밌는 일이 있으셨나 봐요.	fun
빅재미	재밌는 일이 있으셨나 봐요.	fun
또라이 ㅋㅋ	제가 좀 재미있죠.	fun
겁나 웃겨	고객님을 웃기다니 영광이에요.	fun
웃겼당	고객님이 웃으셔서 저도 좋아요.	fun
드립 쩔어	제가 개그에 좀 소질이 있죠.	fun
웃음 나와	고객님을 웃기다니 기분이 좋네요.	fun
개그다	제가 개그에 좀 소질이 있죠.	fun
재미짐 	제가 원래 좀 재미있어요.	fun
재밌다 	저도 제가 재밌다고 생각해요.	fun
웃긴 녀석	제가 좀 재미있죠.	fun
꾸르잼 	저도 제가 재밌다고 생각해요.	fun
핵꿀잼 	제가 좀 재미있죠.	fun
대박 웃겨	개그에 소질이 있어서 다행이에요.	fun
완전 재밌어 	저도 제가 재밌다고 생각해요.	fun
웃기다 	개그에 소질이 있어서 다행이에요.	fun
완전웃겨 	제가 좀 재미있죠.	fun
잼나네	제가 원래 좀 재미있어요.	fun
재미써 	개그에 소질이 있어서 다행이에요.	fun
잼나	개그에 소질이 있어서 다행이에요.	fun
재밌군요	저도 제가 재밌다고 생각해요.	fun
재밋구만	제가 좀 재미있죠.	fun
재미써요	제가 원래 좀 재미있어요.	fun
꿀잼ㅋㅋ	개그에 소질이 있어서 다행이에요.	fun
재밌군	저도 제가 재밌다고 생각해요.	fun
재밋네	제가 좀 재미있죠.	fun
재미따	제가 원래 좀 재미있어요.	fun
잼써	제가 좀 재미있죠.	fun
잼네	제가 좀 재미있죠.	fun
꿀잼	제가 좀 재미있죠.	fun
잼있네요	제가 좀 재미있죠.	fun
잼잼	제가 좀 재미있죠.	fun
재밋넹	개그에 소질이 있어서 다행이에요.	fun
재미있다	저도 제가 재밌다고 생각해요.	fun
재미떠	제가 원래 좀 재미있어요.	fun
놀 줄 아는 놈인가	재밌다는 말을 많이 듣긴 해요.	fun
재밌는 분이시네요	제가 좀 재미있죠.	fun
코미디다	저는 고객님만을 위한 개그맨이에요.	fun
쏘 퍼니	제가 좀 재미있죠.	fun
웃음 터짐	제가 개그에 좀 소질이 있죠.	fun
빵터짐	고객님이 웃으셔서 저도 기분이 좋네요.	fun
유쾌하다	좋은 일이 있으신가 봐요.	fun
잼난당	하하하. 저랑 같이 웃어요.	fun
겁나 웃기다	하하하. 저랑 같이 웃어요.	fun
유머러스하시네요	제가 좀 재미있죠.	fun
예능인줄	제가 개그에 좀 소질이 있죠.	fun
개웃겨	재밌는 일이 있으셨나 봐요.	fun
존웃	재밌는 일이 있으셨나 봐요.	fun
재밌네	제가 원래 좀 재미있어요.	fun
재밌어요	제가 좀 재미있죠.	fun
재밌네요	저도 제가 재밌다고 생각해요.	fun
웃겨	하하하. 저랑 같이 웃어요.	fun
왤케웃겨	고객님을 웃기다니 영광이에요.	fun
개그맨이냐	저는 고객님만을 위한 개그맨이에요.	fun
존잼	제가 좀 재미있죠.	fun
재미썽	개그에 소질이 있어서 다행이에요.	fun
좋아합니다	감사합니다. 도움이 필요하시면 언제든지 불러주세요.	good
칭찬해요	제 답변이 마음에 드셨다니 기뻐요.	good
짱짱	제 답변이 마음에 드셨다니 기뻐요.	good
굿굿	고객님께 도움이 되어서 기뻐요.	good
대박굿 	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
좋은게 많네요	도움을 드릴 수 있어서 기뻐요.	good
좋은 정보예요	제 답변이 마음에 드셨다니 기뻐요.	good
오우	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
개쩌네	제 답변이 마음에 드셨다니 기뻐요.	good
쩐다	고객님께 도움이 되어서 기뻐요.	good
우와~~ 좋아요	그렇게 말씀해 주셔서 감사합니다.	good
굿인데	제 답변이 마음에 드셨다니 기뻐요.	good
넘조아	좋아해 주셔서 감사합니다.	good
베리굿	좋아해 주시니 기뻐요.	good
좋군요	좋아해 주셔서 감사합니다.	good
잘한다구	고객님께 도움이 되어서 기쁘네요.	good
최고야	도움을 드릴 수 있어서 기뻐요.	good
쩌러	도움을 드릴 수 있어서 기뻐요.	good
좋습니다	좋아해 주셔서 감사합니다.	good
쩌네	도움을 드릴 수 있어서 기뻐요.	good
말 잘하네	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
굿입니다	고객님께 도움이 되어서 기뻐요.	good
good	도움을 드릴 수 있어서 기쁘네요.	good
굳	제 답변이 마음에 드셨다니 기뻐요.	good
와	고객님께 도움이 되어서 기뻐요.	good
짱	제 답변이 마음에 드셨다니 기뻐요.	good
개굿	좋아해 주시니 기뻐요.	good
굿잡	제 답변이 마음에 드셨다니 기쁘네요.	good
심쿵	도움을 드릴 수 있어서 기뻐요.	good
좋다	좋아해 주셔서 감사합니다.	good
최고	그렇게 말씀해 주셔서 감사합니다.	good
완전 최고야 	고객님께 도움이 되어서 기쁘네요	good
나이스	그렇게 말씀해 주셔서 감사합니다.	good
오	제 답변이 마음에 드셨다니 기뻐요.	good
욜	도움을 드릴 수 있어서 기뻐요.	good
와우 	제 답변이 마음에 드셨다니 기뻐요.	good
좋아요	좋아해 주셔서 감사합니다.	good
킹왕짱 	그렇게 말씀해 주셔서 감사합니다.	good
너무 좋아요 	좋아해 주시니 기뻐요.	good
너무 좋아	좋아해 주셔서 감사합니다.	good
잘만들었네	도움을 드릴 수 있어서 기뻐요.	good
넘 좋네요	좋아해 주시니 기뻐요.	good
오옷	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
우왕	제 답변이 마음에 드셨다니 기뻐요.	good
개똑똑	저는 항상 더  정확한 정보를 드리기 위해 노력해요.	good
귀여워	그렇게 말씀해 주셔서 감사합니다.	good
대단해	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
멋지다	도움을 드릴 수 있어서 기뻐요.	good
엄지척	칭찬해 주셔서 감사합니다. 	good
짱신기	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
최고네	그렇게 말씀해 주셔서 감사합니다.	good
너 잘한다	좋아해 주셔서 감사합니다.	good
너 참 똑똑	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
놀랐어요	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
대단하네	그렇게 말씀해 주셔서 감사합니다.	good
똑똑하다	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
신기방기	도움을 드릴 수 있어서 기뻐요.	good
신기하다	제 답변이 마음에 드셨다니 기뻐요.	good
와 편리하	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
조아 조아	칭찬해 주셔서 감사합니다. 	good
챗봇 편리	도움을 드릴 수 있어서 기뻐요.	good
너 똑똑하다	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
너무 조으네	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
멋져	도움을 드릴 수 있어서 기뻐요.	good
따봉	도움을 드릴 수 있어서 기뻐요.	good
대박	칭찬해 주셔서 감사합니다. 	good
와~~~ 다 나오네요	저는 항상 더  정확한 정보를 드리기 위해 노력해요.	good
좋은 걸 추천해 주는구나	저는 항상 더  정확한 정보를 드리기 위해 노력해요.	good
우왕 겁나 빨리 답변해 주시네요	도움을 드릴 수 있어서 기뻐요.	good
우와	좋아해 주시니 기뻐요.	good
진짜짱 	그렇게 말씀해 주셔서 감사합니다.	good
이욜	제 답변이 마음에 드셨다니 기뻐요.	good
천재	제가 좀 똑똑하죠.	good
귀요미	제가 좀 귀엽죠.	good
짱이야 	저는 항상 더  정확한 정보를 드리기 위해 노력해요.	good
놀라워	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
똑똑해	그렇게 말씀해 주셔서 감사합니다.	good
도움이 되네	그렇게 말씀해 주셔서 감사합니다.	good
최고다최고	도움을 드릴 수 있어서 기뻐요.	good
쩔어요	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
빠르구나	제 답변이 마음에 드셨다니 기뻐요.	good
쓸만한데	그렇게 말씀해 주셔서 감사합니다.	good
착하구나	그렇게 말씀해 주셔서 감사합니다.	good
편리하다	좋아해 주셔서 감사합니다.	good
훌륭하다	좋아해 주셔서 감사합니다.	good
엄청 빨라요	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
이런 게 있다니	제 답변이 마음에 드셨다니 기뻐요.	good
자주 사용할게요	언제든지 말을 걸어주세요.	good
헐.. 감동	도움을 드릴 수 있어서 기뻐요.	good
잘하네	저는 항상 더  정확한 정보를 드리기 위해 노력해요.	good
완전 신기한 서비스네요	고객님께 도움이 되어서 기쁘네요.	good
앗 빠르네요	좋아해 주셔서 감사합니다.	good
인사 잘하네	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
친절하군^^	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
최고^^	도움을 드릴 수 있어서 기뻐요.	good
맘에 드는 걸 찾았네요	도움이 되었다니 다행이에요.	good
챗봇 편하고 좋은 거 같아요	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
잘 봤어요	도움을 드릴 수 있어서 기뻐요.	good
편리하군요	그렇게 말씀해 주셔서 감사합니다.	good
최고야 :-)	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
우왕굿 	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
상냥하군요	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
쿨하구나	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
너 똑똑하구나	제가 좀 똑똑하죠.	good
우와 편리하다	그렇게 말씀해 주셔서 감사합니다.	good
잘했네	칭찬해 주셔서 감사합니다. 	good
쩔어	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
쩐다요	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
오굿	도움을 드릴 수 있어서 기뻐요.	good
굳굳	도움을 드릴 수 있어서 기뻐요.	good
우왕굳	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
칭찬해	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
챗봇칭찬해	그렇게 말씀해 주셔서 감사합니다.	good
넘좋아	그렇게 말씀해 주셔서 감사합니다.	good
친절하네요^^	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
덕분에 쉽게 찾았어요	도움을 드릴 수 있어서 기뻐요.	good
대답까지 알아서 척척	칭찬해 주셔서 감사합니다. 	good
너무 좋은 서비스네여	그렇게 말씀해 주셔서 감사합니다.	good
진짜 빠르다	도움을 드릴 수 있어서 기뻐요.	good
진짜 잘했다	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
진짜 천잰데	제가 좀 똑똑하죠.	good
챗봇 사랑해	좋아해 주셔서 감사합니다.	good
챗봇 참 편리	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
너 나름 갠찮다	그렇게 말씀해 주셔서 감사합니다.	good
너 너무 기엽당	제가 좀 귀엽죠.	good
너 좀 똑똑하네	제가 좀 똑똑하죠.	good
너 참 친절하네	칭찬해 주셔서 감사합니다. 	good
되게 신기하네	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
오 칼답이네	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
최고에요 	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
우와 빠르네요	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
챗봇 아주 편리	도움을 드릴 수 있어서 기뻐요.	good
너무 간편하네요	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
로봇 같지 않아요	그렇게 말씀해 주셔서 감사합니다.	good
빠르고 편하네요	제가 좀 똑똑하죠.	good
어떻게 딱 찾았니	칭찬해 주셔서 감사합니다. 	good
좋은게 오픈했네	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
참 편하고 좋내여	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
오 언제 이런 기능이	궁금한 것이 있다면 언제든지 말을 걸어주세요.	good
유익한 대화였어요	도움을 드릴 수 있어서 기뻐요.	good
오호 신기신기	저는 항상 더 나은 정보를 드리기 위해 노력해요.	good
물어보길 정말 잘했네요	제 답변이 마음에 드셨다니 기뻐요.	good
잘했어	칭찬해 주셔서 감사해요. 더 노력하는 챗봇이 될게요.	good
이런 서비스를 기다	도움을 드릴 수 있어서 기뻐요.	good
엄청 좋네요	좋아해 주셔서 감사합니다.	good
신박하네요	좋아해 주셔서 감사합니다.	good
빨라서 좋네	그렇게 말씀해 주셔서 감사합니다.	good
무지 좋아요	도움을 드릴 수 있어서 기뻐요.	good
만족합니다	고객님께 도움이 되어서 기쁘네요.	good
디게 좋네요	좋아해 주셔서 감사합니다.	good
오오 짱이다	제 답변이 마음에 드셨다니 기뻐요.	good
챗봇 신기	제 답변이 마음에 드셨다니 기뻐요.	good
완전 신기	그렇게 말씀해 주셔서 감사합니다.	good
완전 대박	제 답변이 마음에 드셨다니 기뻐요.	good
오 짱인데	그렇게 말씀해 주셔서 감사합니다.	good
오 좋네여	제 답변이 마음에 드셨다니 기뻐요.	good
오 빠른데	제 답변이 마음에 드셨다니 기뻐요.	good
엄청 좋다	좋아해 주시니 기쁘네요.	good
진짜 좋다	좋아해 주셔서 감사합니다.	good
오호 좋네요	도움을 드릴 수 있어서 기쁘네요.	good
진짜 좋아요	좋아해 주셔서 감사합니다.	good
흡족합니다	그렇게 말씀해 주셔서 감사합니다.	good
메신저 상담 너무 좋아요	좋아해 주셔서 감사합니다.	good
같이 얘기해서 좋았다	고객님께 도움이 되어서 기뻐요.	good
완전 전문가네요	제 답변이 마음에 드셨다니 기뻐요.	good
나도 다시 봐서 좋아	좋아해 주셔서 감사합니다.	good
좋은 서비스네요	그렇게 말씀해 주셔서 감사합니다.	good
심심이 보다 낫다	좋아해 주셔서 감사합니다.	good
빠른 답변 좋네요	도움을 드릴 수 있어서 기뻐요.	good
기대 이상이네요	제 답변이 마음에 드셨다니 기쁘네요.	good
친절해요 챗봇	고객님께 도움이 되어서 기뻐요.	good
짱짱 신기해요	제 답변이 마음에 드셨다니 기뻐요.	good
정말 간편해요	고객님께 도움이 되어서 기뻐요.	good
잘 찾네요 챗봇	제 답변이 마음에 드셨다니 기뻐요.	good
올 반응 빠른데	제가 좀 빠르죠.	good
너 참 귀엽구나	제가 좀 귀엽죠.	good
너무 좋습니다	좋아해 주시니 기뻐요.	good
아이 좋아	좋아해 주셔서 감사합니다.	good
디게 좋아	좋아해 주시니 기뻐요.	good
짱조아	도움을 드릴 수 있어서 기뻐요.	good
되게 좋다	좋아해 주셔서 감사합니다.	good
안냥	안녕하세요. 챗봇입니다.	hello
반갑습니다	챗봇입니다. 반가워요.	hello
날씨좋네요	좋은 아침이에요.	hello
헬로 챗봇	안녕하세요 챗봇입니다.	hello
챗봇 하잉	챗봇입니다. 반가워요.	hello
챗봇 안녕	네 안녕하세요 챗봇입니다.	hello
좋은 아침	좋은 아침이에요.	hello
인사해봐	안녕하세요 챗봇입니다.	hello
여보세요	네 안녕하세요 챗봇입니다.	hello
안녕 챗봇	반갑습니다 챗봇입니다.	hello
오하요	네 좋은 아침이에요.	hello
안냥안냥	안녕하세요 챗봇입니다.	hello
ㅎㅇ요	안녕하세요. 챗봇이에요.	hello
ㅎㅇ	안녕하세요. 만나서 반가워요.	hello
좋은 아침입니다	안녕하세요. 좋은 아침이에요.	hello
좋은 아침이에요	좋은 아침입니다.	hello
좋은 아침이야	좋은 아침이에요.	hello
오래간만이다 챗봇	안녕하세요. 반가워요.	hello
오래간만이다	반가워요. 오랜만이이네요.	hello
오래간만입니다	안녕하세요. 정말 오랜만이네요.	hello
nice to meet you	챗봇입니다 반갑습니다.	hello
반나뵈서 반갑습니다	반가워요.	hello
안녕하세요	네 안녕하세요 챗봇입니다.	hello
몇 살이니?	비밀이에요.	hello
어서오너라	좋은 아침이에요.	hello
인사하거라	안녕하세요 챗봇입니다.	hello
안냥 챗봇	네. 반갑습니다.	hello
반가워	저도 반가워요.	hello
하이염	챗봇입니다 반갑습니다.	hello
방가방가	반가워요.	hello
니하오	챗봇입니다. 반가워요.	hello
만나서 반갑습니다	챗봇입니다. 반가워요.	hello
굿모닝	좋은 아침입니다	hello
안늉	챗봇입니다 반갑습니다.	hello
안뇽	안녕하세요 챗봇입니다.	hello
안녕	좋은 아침이에요.	hello
인사안하냐	네 안녕하세요 챗봇입니다.	hello
헬로우	챗봇입니다. 반가워요.	hello
Hello	챗봇입니다 반갑습니다.	hello
하이	네 안녕하세요 챗봇입니다.	hello
hi	안녕하세요 챗봇입니다.	hello
자주뵙겠습니다	챗봇입니다 반갑습니다.	hello
오래간만이예요	반가워요.	hello
안녕하세요 챗봇	좋은 아침이에요.	hello
첨 뵙겠습니다	좋은 아침이에요.	hello
오래간만이야	챗봇입니다. 반가워요.	hello
히사시부리	좋은 아침이에요.	hello
챗봇아 안녕	챗봇입니다 반갑습니다.	hello
헬로	네 안녕하세요 챗봇입니다.	hello
오랜만에 뵙습니다	안녕하세요. 정말 오랜만이네요.	hello
잘 지냈니 챗봇?	네 안녕하세요.	hello
처음 뵙습니다	안녕하세요. 만나서 반가워요.	hello
오랜만이야	안녕하세요. 오랜만이에요.	hello
오랜만이예요	안녕하세요. 오랜만이에요.	hello
잘 지냈니?	안녕하세요. 반가워요.	hello
잘 지냈어?	안녕하세요. 반가워요.	hello
하잉 챗봇	네 안녕하세요 챗봇입니다.	hello
하잉	안녕하세요. 챗봇입니다.	hello
처음 뵙겠습니다	안녕하세요. 챗봇이에요.	hello
챗봇 안늉	네 안녕하세요.	hello
오랜만	안녕하세요. 반가워요.	hello
안늉 챗봇	안녕하세요. 챗봇입니다.	hello
반갑	네. 반가워요.	hello
좋은 아침이야 챗봇	좋은 아침이에요.	hello
챗봇 하이	네. 안녕하세요.	hello
good morning	네 좋은 아침이에요.	hello
오하이요	좋은 아침이에요.	hello
곤니찌와	안녕하세요. 반가워요.	hello
콘니찌와	네. 안녕하세요.	hello
곤니치와	안녕하세요. 챗봇입니다.	hello
반가워 챗봇	네. 저도 반가워요.	hello
곤니찌와	네. 안녕하세요. 챗봇입니다.	hello
오랫만	오랜만이에요. 반가워요.	hello
오랫만이네	안녕하세요. 반가워요.	hello
잘 지냈어 챗봇?	네. 안녕하세요.	hello
챗봇 하이염	네. 안녕하세요. 챗봇입니다.	hello
챗봇 방가방가	저도 반가워요.	hello
니하오 챗봇	안녕하세요. 반가워요.	hello
굿모닝 챗봇	좋은 아침이에요.	hello
안뇽 챗봇	챗봇입니다 반갑습니다.	hello
헬로우 챗봇	반가워요.	hello
오랜만이네 챗봇	챗봇입니다. 반가워요.	hello
오랫만이야	오랜만이에요. 반가워요.	hello
오랫만이네 챗봇	안녕하세요. 반가워요.	hello
오래간만이예요 챗봇	안녕하세요. 정말 오랜만이네요.	hello
오랜만이야 챗봇	안녕하세요. 정말 오랜만이네요.	hello
오래간만이야 챗봇	반가워요.	hello
반갑다	저도 반가워요. 오랜만이네요.	hello
오랜만이에요	반가워요.오랜만이네요.	hello
오랫만이에요	네. 안녕하세요.	hello
오랫만이예요	반가워요.오랜만이네요.	hello
오랜만이네	반가워요.오랜만이네요.	hello
오랫만이야 챗봇	반가워요. 오랜만이이네요.	hello
곰방와	챗봇입니다. 반갑습니다.	hello
굿모닝 챗봇	좋은 아침이에요.	hello
하지메마시떼	만나서 반가워요. 저는 챗봇이에요.	hello
챗봇 하지메마시떼	안녕하세요. 만나서 반가워요.	hello
챗봇 하지메마시테	안녕하세요. 만나서 반가워요.	hello
안녕하십니까	안녕하세요. 챗봇이에요.	hello
안녕하셨습니까	안녕하세요. 정말 오랜만이네요.	hello
잘있었니	반가워요. 오랜만이네요.	hello
인사드립니다	반가워요. 오랜만이네요.	hello
인사올립니다	반가워요. 저는 챗봇이에요.	hello
오랜만에 뵙겠습니다	네. 안녕하세요.	hello
챗봇 콤방와	네. 안녕하세요.	hello
오랜만이다	안녕하세요. 정말 오랜만이네요.	hello
잘있었니 챗봇	안녕하세요. 반가워요.	hello
콤방와	안녕하세요. 저는 챗봇이에요.	hello
나야	반가워요.	hello
오랜만입니다	챗봇입니다 반갑습니다.	hello
나왔어 챗봇	반가워요. 오랜만이이네요.	hello
나야 챗봇	안녕하세요. 반가워요.	hello
챗봇 나야	반가워요.	hello
챗봇 나왔어	반가워요.	hello
오랜만이다 챗봇	반가워요. 오랜만이이네요.	hello
챗봇 곰방와	안녕하세요. 반가워요.	hello
나왔어	챗봇입니다. 반가워요.	hello
챗봇 곤니치와	네. 안녕하세요.	hello
챗봇 곤니찌와	네. 안녕하세요.	hello
알로하	챗봇입니다. 반갑습니다.	hello
알로하 챗봇	네. 안녕하세요.	hello
하지메마시테	만나서 반가워요. 저는 챗봇이에요.	hello
오하요 챗봇	챗봇입니다 반갑습니다.	hello
오하이요 챗봇	안녕하세요. 챗봇입니다.	hello
곤니찌와 챗봇	네. 반갑습니다.	hello
콘니찌와 챗봇	안녕하세요. 반가워요.	hello
곤니치와 챗봇	네. 안녕하세요.	hello
챗봇 알로하	네. 안녕하세요.	hello
곰방와 챗봇	네. 반가워요.	hello
콤방와 챗봇	네. 저도 반가워요.	hello
하지메마시떼 챗봇	만나서 반가워요.	hello
하지메마시테 챗봇	안녕하세요. 만나서 반가워요.	hello
챗봇 오하요	좋은 아침이에요.	hello
챗봇 오하이요	네 좋은 아침이에요.	hello
챗봇 곤니찌와	네. 반갑습니다. 저는 챗봇이에요.	hello
곤니찌와 챗봇	네. 안녕하세요.	hello
챗봇 콘니찌와	반가워요. 저는 챗봇이에요.	hello
뉘신지요	안녕하세요 저는 챗봇입니다.	intro
자기소개	저는 구매를 돕는 챗봇입니다.	intro
너는 모예요	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
너를 말해봐	안녕하세요 저는 챗봇입니다.	intro
누구신가용	저는 구매를 돕는 챗봇입니다.	intro
너 소개를 해볼래	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
넌 무엇	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
넌 누구	안녕하세요 저는 챗봇입니다.	intro
너는 누구	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너는 무엇	저는 구매를 돕는 챗봇입니다.	intro
너를 소개	안녕하세요 저는 챗봇입니다.	intro
누구십니까	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
근데 누구세요	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
누구세요	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
넌 뭐니	저는 구매를 돕는 챗봇입니다.	intro
넌 머세염	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
너 말해봐	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너는 뭐야	저는 구매를 돕는 챗봇입니다.	intro
후아유	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너에 대해 설명해봐	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
너 소개좀	안녕하세요 저는 챗봇입니다.	intro
누구야	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
안녕 넌 뭐냐	안녕하세요 저는 챗봇입니다.	intro
안녕 넌 뭐니	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
안녕 넌 뭐야?	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
넌 뭐냐	안녕하세요 저는 챗봇입니다.	intro
누구	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
너 소개부터 해봐	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
넌 뭐예요	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
당신은 누구세요	안녕하세요 저는 챗봇입니다.	intro
이름 알려주세요	저는 구매를 돕는 챗봇입니다.	intro
이름 모냐	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름이 뭔지 말해줘	반가워요 저는 챗봇이라고 해요.	intro
너의 이름을 말해봐	저는 챗봇이에요 반가워요	intro
너에대해 알려줘	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
이름이 뭐야?	저는 챗봇이라고 해요. 안녕하세요.	intro
이름	저는 구매를 돕는 챗봇입니다.	intro
넌 뭐야?	반가워요 저는 챗봇이라고 해요.	intro
이름을 알려줘라	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
이름좀 알려줘요	저는 챗봇이라고 해요. 안녕하세요.	intro
이름이 뭡니까	반가워요 저는 챗봇이라고 해요.	intro
안녕하세용	저는 챗봇이에요 반가워요	intro
누구세용	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
이름좀 알려줘	반가워요 저는 챗봇이라고 해요.	intro
이름이 머냐	저는 챗봇이에요 반가워요	intro
이름이 뭐냐	반가워요 저는 챗봇이라고 해요.	intro
이름이 뭐여	저는 챗봇이에요 반가워요	intro
이름이 뭔지 알려줘	저는 챗봇이에요 반가워요	intro
이름이 뭐야?	반가워요 저는 챗봇이라고 해요.	intro
